text
https://t.co/DRVhpMCuAx
https://t.co/ImJ7W5MACi
https://t.co/NOAE5Q6QxH
https://t.co/6fEymjTjUM
My deepest sympathies go out to Frieda Chera and the family of the late great Stanley Chera one of Manhattan’s most brilliant real estate minds. Stanley was charitable kind and a wonderful friend. He will be truly missed!
First the Fake News Media said that it’s not fair for the President of the United States to be giving news conferences but it is the only way I can reach the American People as seen in the below poll. https://t.co/xP2rqjqtaf
White House news conference today at 5:00 P.M. Eastern. Thank you!
....It is the decision of the President and for many good reasons. With that being said the Administration and I are working closely with the Governors and this will continue. A decision by me in conjunction with the Governors and input from others will be made shortly!
For the purpose of creating conflict and confusion some in the Fake News Media are saying that it is the Governors decision to open up the states not that of the President of the United States &amp; the Federal Government. Let it be fully understood that this is incorrect....
....disaster the Energy Industry will be strong again far faster than currently anticipated. Thank you to all of those who worked with me on getting this very big business back on track in particular Russia and Saudi Arabia.
Having been involved in the negotiations to put it mildly the number that OPEC+ is looking to cut is 20 Million Barrels a day not the 10 Million that is generally being reported. If anything near this happens and the World gets back to business from the Covid 19.....
The @nytimes story is a Fake just like the “paper” itself. I was criticized for moving too fast when I issued the China Ban long before most others wanted to do so. @SecAzar told me nothing until later and Peter Navarro memo was same as Ban (see his statements). Fake News!
I am working hard to expose the corruption and dishonesty in the Lamestream Media. That part is easy the hard part is WHY?
The @nytimes story is a Fake just like the “paper” itself. I was criticized for moving too fast when I issued the China Ban long before most others wanted to do so. @SecAzar told me nothing until later and @PeterNavarroUSA memo was same as Ban (see his statements). Fake News!
Thank you Paris! https://t.co/hDUppWgIXA
Thank you! https://t.co/z8dgzQxkVC
I look forward to it also! https://t.co/IGZLBgJnn2
Great going Natalie! https://t.co/OldfyDdFRO
Sorry Fake News it’s all on tape. I banned China long before people spoke up. Thank you @OANN https://t.co/d40JQkUZg5
Fake News! https://t.co/HzPQgbXgxX
Governors get your states testing programs &amp; apparatus perfected. Be ready big things are happening. No excuses! The Federal Government is there to help. We are testing more than any country in the World. Also gear up with Face Masks!
The Opposition Party (Lamestream Media) and their partner the Radical Left Do Nothing Democrats have put their political game plan in full swing. “Whether he is right or wrong it doesn’t matter. Criticize ’Trump’ for everything and don’t let the public see Biden. Hide him.”
If the Fake News Opposition Party is pushing with all their might the fact that President Trump “ignored early warnings about the threat” then why did Media &amp; Dems viciously criticize me when I instituted a Travel Ban on China? They said “early &amp; not necessary.” Corrupt Media!
Just watched Mike Wallace wannabe Chris Wallace on @FoxNews. I am now convinced that he is even worse than Sleepy Eyes Chuck Todd of Meet the Press(please!) or the people over at Deface the Nation. What the hell is happening to @FoxNews. It’s a whole new ballgame over there!
The big Oil Deal with OPEC Plus is done. This will save hundreds of thousands of energy jobs in the United States. I would like to thank and congratulate President Putin of Russia and King Salman of Saudi Arabia. I just spoke to them from the Oval Office. Great deal for all!
For the first time in history there is a fully signed Presidential Disaster Declaration for all 50 States. We are winning and will win the war on the Invisible Enemy!
https://t.co/VfrOSwXoqU
https://t.co/ZawRDjsldB
https://t.co/wwjRRx4W0P
Great businessman &amp; philanthropist Bernie Marcus Co-Founder of Home Depot said that Congress was too distracted by the (phony) Impeachment Witch Hunt when they should have been investigating  CoronaVirus when it first appeared in China. Media played a big roll also!@dcexaminer
Great businessman &amp; philanthropist Bernies Marcus Co-Founder of Home Depot said that Congress was too distracted by the (phony) Impeachment Witch Hunt when they should have been investigating  CoronaVirus when it first appeared in China. Media played a big roll also!@dcexaminer
HAPPY EASTER!
A very good sign is that empty hospital beds are becoming more and more prevalent. We deployed 418 Doctors Nurses and Respiratory Therapists from the hospital ship Comfort and the Javits Convention Center to hospitals in NYC &amp; State. Have more bed capacity than was needed. Good!
HAPPY EASTER! https://t.co/UX5Bhm82H2
https://t.co/b3fwPSkSCF
Will be interviewed by @JudgeJeanine tonight at 9:00 P.M. Eastern on @FoxNews!
Cryin’Chuck doesn’t have a clue. Couldn’t care less about the American Worker! https://t.co/eoXxXdn460
Mail in ballots substantially increases the risk of crime and VOTER FRAUD!
Will be interviewed by @JudgeJeanine tonight at 9:00 P.M. Eastern on @FoxNews! https://t.co/F83yVaxXab
So now the Fake News @nytimes is tracing the CoronaVirus origins back to Europe NOT China. This is a first! I wonder what the Failing New York Times got for this one? Are there any NAMED sources? They were recently thrown out of China like dogs and obviously want back in. Sad!
Governor @GavinNewsom of California has been very nice &amp;  highly supportive about the great job we have done working together for California. That is the good news but this is the bad. He is unfairly under attack by the Radical Left Dems MSDNC etc. He is strong! Will he fold?
I will be watching. HAVE A GREAT EASTER! https://t.co/wCa7u6qSnl
The Wall Street Journal Editorial Board doesn’t have a clue on how to fight and win. Their views on Tariffs &amp; Trade are losers for the U.S. but winners for other countries including China. If we followed their standards  we’d have no Country left. They should love Sleepy Joe!
So now the Fake News @nytimes is tracing the CoronaVirus origins back to Europe NOT China. This is a first! I wonder where the Failing New York Times got for this one? Are there any NAMED sources? They were recently thrown out of China like dogs and obviously want back in. Sad!
So now the Fake News @nytimes is tracing the CoronaVirus origins back to Europe NOT China. This is a first! I wonder what the Failing New York Times got for this one? Are there any NAMED sources? They were recently thrown out of China like dogs and obviously want back in. Sad!
Watching @FoxNews on weekend afternoons is a total waste of time. We now have some great alternatives like @OANN.
“The President and the Federal Government are doing an excellent job. When they say the death toll isn’t going to be as high as reported they (the opposition) act like they’re sad because it’s lower. I think they are (Press Conferences) wonderful.” West Virginia Resident C Span
Great editorial by @SenRonJohnson! https://t.co/hGmcwI4OSe
Wishing all a safe and blessed Easter Sunday. I will be tuning into Pastor @robertjeffress at https://t.co/roBC6bOARn Church in Dallas Texas tomorrow morning at 10:20 AM Eastern. https://t.co/wCa7u6qSnl
WE WILL BUILD IT AGAIN!
....Does anyone ever notice how few quotes from an actual person are given nowadays by the Lamestream Media. Very seldom. The unnamed or anonymous sources are almost always FAKE NEWS.
When the Failing @nytimes or Amazon @washingtonpost writes a story saying “unnamed sources said” or any such phrase where a person’s  name is not used don’t believe them. Most of these unnamed sources don’t exist. They are made up to defame &amp; disparage. They have no “source”...
....economy was shuttered. This is unprecedented it is unsettling and challenging but we will rise to meet the occasion.” MACK MCLARTY Clinton White House Chief of Staff. @LelandVittert @FoxNews Thank you Mack. We will be bigger better and stronger than ever before!
“I think the situation is unprecedented and there is no question about that. It’s whiplash! The economy was moving forward at a rapid pace in terms of growth jobs and even wage increases and all of a sudden the pandemic hit and the....
“Trump did a deal with Japan. A lot of our product goes to Japan and we are booming in North Dakota.” Jim on C Span Washington Journal. Our Trade Deals will be having a big impact on our Country as they kick in!
https://t.co/HGD0GHUOjt
Nobody wants to say that if Elizabeth Warren gets out of the race before Super Tuesday Crazy Bernie Sanders wins virtually every state in a blowout...NOT EVEN CLOSE!  I haven’t heard one member of the Fake News Establishment even mention this irrefutable fact. FAKE NEWS!
The Invisible Enemy will soon be in full retreat!
Because the T.V. Ratings for the White House News Conference’s are the highest the Opposition Party (Lamestream Media) the Radical Left Do Nothing Democrats &amp; of course the few remaining RINO’S are doing everything in their power to disparage &amp; end them. The People’s Voice!
The White House Press Conference will take place today at 1:00 P.M. recognizing that it is Good Friday!
HAPPY GOOD FRIDAY TO ALL!
Wow Approval Rating in the Republican Party - 96%. Thank you!
Not good Gregg but it is what it is. Have to save the airlines! https://t.co/AeaiLCO9pg
Congress must go back to DEDUCTIBILITY by businesses if Restaurants Clubs &amp; Entertaiment is expected to flourish (like never before)!
Democrats are blocking a 251 Billion Dollar funding boost for Small Businesses which will help them keep their employees. It should be for only that reason with no additions. We should have a big Infrastructure Phase Four with Payroll Tax Cuts &amp; more. Big Economic Bounceback!
This week in only 4 days we had the biggest Stock Market increase since 1974. We have a great chance for the really big bounce when the Invisible Enemy is gone!
Democrats are blocking a 251 Million Dollar funding boost for Small Businesses which will help them keep their employees. It should be for only that reason with no additions. We should have a big Infrastructure Phase Four with Payroll Tax Cuts &amp; more. Big Economic Bounceback!
Tim Scott is Great! https://t.co/O1Aivbc2yG
Thank you Frank. It’s ABC Fake News. They knew they were wrong when they went with this Hoax of a story! https://t.co/FHkRaW3BTi
